ID	Name	Num_Rgenes	AST_R
AI2934	220	45	16
AI2935	221	39	9
AI2936	222	51	12
AI2937	223	77	12
AI2938	224	76	3
AI2939	225	50	13
AI2656	226	50	15
AI2940	227	63	13
AI2657	228	51	14
AI2658	229	50	14
AI2659	230	55	15
AH0328	231T	38	10
AI2941	232	52	16
AI2660	233	74	12
AI2661	234	50	11
AI2662	235	48	14
AI2664	237	70	6
AI2665	238	68	10
AI2666	239	54	10
AI2942	240	62	10
AI2943	241	53	11
AI2667	242	35	7
AI3031	243	67	9
AI2668	244	60	10
AI2669	245	68	10
AI2670	246	65	11
AI2671	247	75	9
AI2672	248	77	10
AI2673	249	35	9
AI2945	250	33	9
AI2946	251	55	9
AI2674	252	31	9
AN2336	253	74	7
AI2675	254	63	11
AI2676	256	63	10
AI2677	257	63	10
AI2678	258	65	9
AI2679	259	31	8
AI2680	260	50	9
AI2681	261	63	11
AI2682	262	46	9
AI2683	263	35	10
AI2949	264	87	6
AN2337	265-B	63	13
AI3034	266	50	3
AI3035	267	64	9
AI2686	268	66	12
AI2687	269	63	10
AI2950	270	33	10
AH0330	271T	68	13
AI2688	272	53	10
AI2689	273	43	10
AI3036	274	71	10
AI2951	275	83	10
AI2691	276	58	9
AI3037	277	58	9
AI2693	278	44	7
AI2694	279	31	4
AI3038	280	40	5
AI2695	281	32	7
AI2696	282	35	11
AI2952	283	51	5
AI2697	284	34	10
AI2953	285	61	11
AI2698	286	34	5
AI2699	287	75	9
AI2954	288	57	11
AI2957	291	38	5
AI3039	292	70	12
AI2958	293	58	12
AI2959	294	99	11
AI2960	295	70	10
AI2961	296	64	7
AI2962	297	70	14
AI2963	298	75	8
AI2964	299	72	9
AI2965	300	65	11
AI2966	301	68	12
AI3040	302	67	7
AI2967	303	65	10
AI2968	304	66	11
AI2969	305	60	3
AH0331	306T	51	9
AI2970	307	68	9
AI2971	308	64	10
AI2972	309	55	12
AI2973	310	36	13
AI2974	311	70	8
AI2975	312	69	5
AI3041	313	66	4
AI2976	314	70	5
AI2977	315	66	8
AI2978	316	72	8
AI3042	317-B	73	7
AI3043	318-B	73	14
AI3044	319	52	6
AI3045	320-B	43	5
AI3046	321-B	40	6
AI3047	322-B	73	8
AI3048	323-B	40	6
AI3049	324-B	40	10
AI3050	325-B	47	12
AI3051	326-B	76	10
AI3052	327-B	73	10
AI3053	328-B	68	10
AI3054	329-B	73	10
AI3055	330-B	32	10
AI3056	331-B	58	8
AN2338	332	61	11
AN2339	333	59	13
AI2700	334-B	58	10
AI2701	335-B	51	9
AN2340	336	35	11
AI2702	337-B	39	8
AI2703	338-B	82	8
AI2704	339-B	64	11
AI2979	340-B	62	8
AI2705	341-B	32	10
AI2706	342-B	42	12
AI2707	343-B	71	12
AI2709	345-B	65	10
AI2710	346-B	74	11
AI2711	347-B	40	9
AI2980	348-B	30	9
AI2981	349-B	90	5
AI3057	350-B	32	9
AI2982	351-B	39	9
AI2713	352-B	51	12
AI2714	353-B	71	12
AI2715	354-B	93	8
AI2983	355-B	62	10
AI2716	356-B	25	7
AI2717	357-B	57	6
AI2984	358-B	30	11
AI3058	359-B	50	10
AI2719	360-B	95	8
AI2985	361-B	37	9
AI3059	362-B	44	9
AI3060	363-B	64	9
AI2721	364-B	97	5
AI2722	365-B	70	12
AI2723	366-B	69	10
AI2739	367	72	7
AI2740	368	66	10
AI2741	369	76	10
AN2341	370	68	9
AI2742	372	78	12
AI2743	373	69	11
AI2744	374	66	11
AI2989	375	71	10
AI2745	376	72	11
AI2746	377	65	10
AI2747	378	92	9
AI2748	379	71	10
AI2749	380	74	10
AI2750	381	60	11
AI2751	383	71	10
AI2752	384	77	9
AI2753	385	73	8
AI2754	386	40	12
AI3062	387	76	10
AI2755	388	44	9
AI2756	389	63	11
AI2757	390	72	11
AI3063	391	71	10
AI2759	392	58	13
AI2760	393	44	11
AI2761	394	76	10
AI2762	395	29	6
AI2991	396	67	11
AI2992	397	70	13
AI3064	398	41	11
AI2763	399	42	14
AI2764	400	42	14
AI2765	401	46	14
AI2766	402	46	15
AI2767	403	41	11
AI2993	404	42	12
AI2994	405	63	9
AI2768	406	46	13
AI2769	407	43	12
AI2770	408	37	12
AI3065	409	40	13
AI2771	410	32	8
AI2996	411	45	12
AI2998	413	46	12
AI2999	414	32	6
AI2772	415	47	12
AI2773	416	39	10
AI2774	417	33	10
AI3000	418	46	16
AI2775	419	46	11
AI3001	420	69	12
AI2776	421	61	9
AI2777	422	67	12
AI2778	423	58	9
AI2779	424	55	11
AI2780	425	61	16
AI2781	426	71	13
AI3002	427	39	10
AI2782	428	61	10
AI3067	429	73	11
AI3003	430	70	12
AI2784	431	55	9
AI3004	432	70	12
AI2785	433	60	11
AI3006	435	39	10
AI2787	436	70	9
AI3007	437	66	13
AI2786	438	39	10
AI3008	439	70	12
AI3069	440	66	9
AI2789	441	40	5
AI2790	442	61	6
AI2791	443	64	7
AI3009	444	70	11
AI2792	445	61	11
AI2793	446	48	11
AI2794	447	70	11
AI2795	448	11	6
AI2796	449	34	8
AI3010	450	56	10
AI2797	451	58	12
AI2798	452	53	11
AI2799	453	55	13
AI3011	454	51	6
AI2800	455	65	10
AI3012	456	49	10
AI2801	457	69	11
AI2802	458	58	12
AI2803	459	30	5
AI2804	460	50	12
AI3013	461	46	12
AI2805	462	70	15
AI2806	463	69	13
AI2807	464	44	11
AI3070	465	44	11
AI2808	466	69	13
AI2809	467	42	13
AI2810	468	69	11
AI2811	469	42	12
AI2812	470	42	12
AI2813	471	47	14
AI2814	472	60	14
AI2815	473	60	13
AI3071	474	35	12
AI2816	475	69	13
AI2817	476	41	12
AN2342	477	58	11
AN2343	478	61	14
AN2344	479	69	13
AN2345	480	61	5
AN2346	481	50	3
AN2347	482	62	11
AN2349	484	66	8
AN2350	485	53	4
AN2351	486	37	4
AN2352	487	46	12
AN2353	488	31	4
AN2354	489	51	7
AN2355	490	67	10
AN2356	491	35	5
AN2357	492	76	13
AN2358	493	51	12
AN2360	495	57	12
AN2361	496	67	10
AN2362	497	55	7
AN2363	498	29	3
AN2364	499	35	6
